company_id,company,season,episode,episode_date,roster_source_url,evidence_level,research_stage
the-fidget-game,The Fidget Game,15,7,2023-11-17,https://abc.com/news/8b09dd84-17d3-4dc5-83f6-7278f9c34bf9/category/2887649,primary_roster,status_and_registry_research_pending
parting-stone,Parting Stone,14,19,2023-04-07,https://abc.com/news/2048faca-7a46-448e-ad64-a7ac011d8bc2/category/2887649,primary_roster,status_and_registry_research_pending
cincha-travel,Cincha Travel,14,19,2023-04-07,https://abc.com/news/2048faca-7a46-448e-ad64-a7ac011d8bc2/category/2887649,primary_roster,status_and_registry_research_pending
milkify,Milkify,14,19,2023-04-07,https://abc.com/news/2048faca-7a46-448e-ad64-a7ac011d8bc2/category/2887649,primary_roster,status_and_registry_research_pending
clean-bottle,Clean Bottle,3,1,2012-01-20,https://abc.com/news/6e89b95f-ae77-4aac-96c3-062d0b3ec447/category/939724,primary_roster,status_and_registry_research_pending
my-wonderful-life,My Wonderful Life,3,1,2012-01-20,https://abc.com/news/6e89b95f-ae77-4aac-96c3-062d0b3ec447/category/939724,primary_roster,status_and_registry_research_pending
ez-vip,EZ VIP,3,1,2012-01-20,https://abc.com/news/6e89b95f-ae77-4aac-96c3-062d0b3ec447/category/939724,primary_roster,status_and_registry_research_pending
simply-good-jars,Simply Good Jars,12,16,2021-03-05,https://abc.com/news/49479b6f-fb2e-430f-8bd2-74ce03891bb8/category/2887649,primary_roster,status_and_registry_research_pending
pinch-me-therapy-dough,Pinch Me Therapy Dough,12,16,2021-03-05,https://abc.com/news/49479b6f-fb2e-430f-8bd2-74ce03891bb8/category/2887649,primary_roster,status_and_registry_research_pending
muff-waders,Muff Waders,12,16,2021-03-05,https://abc.com/news/49479b6f-fb2e-430f-8bd2-74ce03891bb8/category/2887649,primary_roster,status_and_registry_research_pending
lucidart,LUCIDArt,13,19,2022-04-08,https://abc.com/news/5575b786-84cf-4108-b778-ece4f33ec937/category/2887649,primary_roster,status_and_registry_research_pending
swiftpaws,SwiftPaws,13,19,2022-04-08,https://abc.com/news/5575b786-84cf-4108-b778-ece4f33ec937/category/2887649,primary_roster,status_and_registry_research_pending
dirty-cookie,Dirty Cookie,13,19,2022-04-08,https://abc.com/news/5575b786-84cf-4108-b778-ece4f33ec937/category/2887649,primary_roster,status_and_registry_research_pending
cranel,Cranel,17,12,2026-03-04,https://abc.com/news/a437da6c-65cb-41f1-bd6d-1b5b77a4956b/category/2887649,primary_roster,status_and_registry_research_pending
the-chair-blanket,The Chair Blanket,17,12,2026-03-04,https://abc.com/news/a437da6c-65cb-41f1-bd6d-1b5b77a4956b/category/2887649,primary_roster,status_and_registry_research_pending
paco-and-pepper,Paco & Pepper,17,12,2026-03-04,https://abc.com/news/a437da6c-65cb-41f1-bd6d-1b5b77a4956b/category/2887649,primary_roster,status_and_registry_research_pending
novel-effect,Novel Effect,9,6,2017-10-29,https://www.tvmaze.com/episodes/1338941/shark-tank-9x06-brazyn-life-novel-effect-drain-wig-father-figure,secondary_roster,primary_roster_status_and_registry_research_pending
drain-wig,Drain Wig,9,6,2017-10-29,https://www.tvmaze.com/episodes/1338941/shark-tank-9x06-brazyn-life-novel-effect-drain-wig-father-figure,secondary_roster,primary_roster_status_and_registry_research_pending
father-figure,Father Figure,9,6,2017-10-29,https://www.tvmaze.com/episodes/1338941/shark-tank-9x06-brazyn-life-novel-effect-drain-wig-father-figure,secondary_roster,primary_roster_status_and_registry_research_pending
slice-of-sauce,Slice of Sauce,12,10,2021-01-15,https://abc.com/news/febba6fd-cf91-428e-bc43-a3543a6a6845/category/2887649,primary_roster,status_and_registry_research_pending
love-is-project,Love Is Project,12,10,2021-01-15,https://abc.com/news/febba6fd-cf91-428e-bc43-a3543a6a6845/category/2887649,primary_roster,status_and_registry_research_pending
luna-magic,Luna Magic,12,10,2021-01-15,https://abc.com/news/febba6fd-cf91-428e-bc43-a3543a6a6845/category/2887649,primary_roster,status_and_registry_research_pending
topsail-steamer,Topsail Steamer,16,2,2024-10-25,https://abc.com/news/e8969ac2-cd44-4c0d-bf33-986b6aa33612/category/2887649,primary_roster,status_and_registry_research_pending
life-raft-treats,Life Raft Treats,16,2,2024-10-25,https://abc.com/news/e8969ac2-cd44-4c0d-bf33-986b6aa33612/category/2887649,primary_roster,status_and_registry_research_pending
rig-strips,Rig Strips,16,2,2024-10-25,https://abc.com/news/e8969ac2-cd44-4c0d-bf33-986b6aa33612/category/2887649,primary_roster,status_and_registry_research_pending
holiball,Holiball,12,7,2020-12-04,https://abc.com/news/52bf9a72-2712-4806-b7c3-9c2f2529e61d/category/2887649,primary_roster,status_and_registry_research_pending
toilet-timer,Toilet Timer,12,7,2020-12-04,https://abc.com/news/52bf9a72-2712-4806-b7c3-9c2f2529e61d/category/2887649,primary_roster,status_and_registry_research_pending
odr-skis,ODR Skis,12,7,2020-12-04,https://abc.com/news/52bf9a72-2712-4806-b7c3-9c2f2529e61d/category/2887649,primary_roster,status_and_registry_research_pending
paddlesmash,PaddleSmash,15,4,2023-10-20,https://abc.com/news/755fd719-153d-404d-a315-818eb87d8a9d/category/2887649,primary_roster,status_and_registry_research_pending
fairytail-pet-care,FairyTail Pet Care,15,4,2023-10-20,https://abc.com/news/755fd719-153d-404d-a315-818eb87d8a9d/category/2887649,primary_roster,status_and_registry_research_pending
monosuit,MONOSUIT,15,4,2023-10-20,https://abc.com/news/755fd719-153d-404d-a315-818eb87d8a9d/category/2887649,primary_roster,status_and_registry_research_pending
bee-thinking,Bee Thinking,6,24,2015-04-10,https://sharktankdb.com/season/6/,secondary_roster,primary_roster_status_and_registry_research_pending
pullypalz,PullyPalz,6,24,2015-04-10,https://sharktankdb.com/season/6/,secondary_roster,primary_roster_status_and_registry_research_pending
forus-athletics,Forus Athletics,6,24,2015-04-10,https://sharktankdb.com/season/6/,secondary_roster,primary_roster_status_and_registry_research_pending
revolights,Revolights,5,19,2014-03-07,https://www.tvmaze.com/episodes/31960/shark-tank-5x19-revolights-squeeky-knees-buffer-bit-u-lace,secondary_roster,primary_roster_status_and_registry_research_pending
squeeky-knees,Squeeky Knees,5,19,2014-03-07,https://www.tvmaze.com/episodes/31960/shark-tank-5x19-revolights-squeeky-knees-buffer-bit-u-lace,secondary_roster,primary_roster_status_and_registry_research_pending
u-lace,U-Lace,5,19,2014-03-07,https://www.tvmaze.com/episodes/31960/shark-tank-5x19-revolights-squeeky-knees-buffer-bit-u-lace,secondary_roster,primary_roster_status_and_registry_research_pending
knife-aid,Knife Aid,11,4,2019-10-20,https://abc.com/news/fd12ffdc-af60-416c-906a-8b1847aca56c/category/2887649,primary_roster,status_and_registry_research_pending
plop-star,Plop Star,11,4,2019-10-20,https://abc.com/news/fd12ffdc-af60-416c-906a-8b1847aca56c/category/2887649,primary_roster,status_and_registry_research_pending
snacklins,Snacklins,11,4,2019-10-20,https://abc.com/news/fd12ffdc-af60-416c-906a-8b1847aca56c/category/2887649,primary_roster,status_and_registry_research_pending
jiggy,Jiggy,12,22,2021-04-23,https://abc.com/news/c65972da-caa9-4e9c-b0db-9e33ae7ab0da/category/2887649,primary_roster,status_and_registry_research_pending
the-scrubbie,The Scrubbie,12,22,2021-04-23,https://abc.com/news/c65972da-caa9-4e9c-b0db-9e33ae7ab0da/category/2887649,primary_roster,status_and_registry_research_pending
xtorch,XTorch,12,22,2021-04-23,https://abc.com/news/c65972da-caa9-4e9c-b0db-9e33ae7ab0da/category/2887649,primary_roster,status_and_registry_research_pending
